sls_ord_num,sls_prd_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price,dwh_create_date
SO54496,TI-M267,16399,2013-03-16,2013-03-23,2013-03-28,25,1,25,2024-12-30 14:06:36.9733333
SO54496,TT-M928,16399,2013-03-16,2013-03-23,2013-03-28,5,1,5,2024-12-30 14:06:36.9733333
SO54496,PK-7098,16399,2013-03-16,2013-03-23,2013-03-28,2,1,2,2024-12-30 14:06:36.9733333
SO54497,FE-6654,20280,2013-03-16,2013-03-23,2013-03-28,22,1,22,2024-12-30 14:06:36.9733333
SO54497,SO-R809-M,20280,2013-03-16,2013-03-23,2013-03-28,9,1,9,2024-12-30 14:06:36.9733333
SO54498,FE-6654,15824,2013-03-16,2013-03-23,2013-03-28,22,1,22,2024-12-30 14:06:36.9733333
SO54498,SJ-0194-S,15824,2013-03-16,2013-03-23,2013-03-28,54,1,54,2024-12-30 14:06:36.9733333
SO54499,TT-M928,15285,2013-03-16,2013-03-23,2013-03-28,5,1,5,2024-12-30 14:06:36.9733333
SO54499,HL-U509-R,15285,2013-03-16,2013-03-23,2013-03-28,35,1,35,2024-12-30 14:06:36.9733333
SO54500,TT-M928,12471,2013-03-16,2013-03-23,2013-03-28,5,1,5,2024-12-30 14:06:36.9733333
SO54500,TI-M823,12471,2013-03-16,2013-03-23,2013-03-28,35,1,35,2024-12-30 14:06:36.9733333
SO54500,HL-U509,12471,2013-03-16,2013-03-23,2013-03-28,35,1,35,2024-12-30 14:06:36.9733333
SO54500,CA-1098,12471,2013-03-16,2013-03-23,2013-03-28,9,1,9,2024-12-30 14:06:36.9733333
SO54501,TT-R982,13776,2013-03-16,2013-03-23,2013-03-28,4,1,4,2024-12-30 14:06:36.9733333
SO54501,TI-R982,13776,2013-03-16,2013-03-23,2013-03-28,33,1,33,2024-12-30 14:06:36.9733333
SO54502,TI-R628,16301,2013-03-16,2013-03-23,2013-03-28,25,1,25,2024-12-30 14:06:36.9733333
SO54502,TT-R982,16301,2013-03-16,2013-03-23,2013-03-28,4,1,4,2024-12-30 14:06:36.9733333
SO54502,CA-1098,16301,2013-03-16,2013-03-23,2013-03-28,9,1,9,2024-12-30 14:06:36.9733333
